"Organization","Project","Year_start","Total_ammount","Year_end","Paid_ammount","Project_postcode","Priority","Total_cost","Description"
"Trucorp Ltd","LoO 07/0947 PPD","2008","20,616.00","2015","20,571.82","BT6 8DD","P1","£ 51,540.00","The project is envisaged as an enhancement to the successful Truman product. We plan to introduce electronic capabilities to the already designed Truman product.    Key features will be - ability to perform CPR and have realtime feedabck onperformance through display of key parameters (rate and depth of compressions).   Ability to perfrom effective ventillation and obtain visual confirmation of performance. Training on usage of automated external defibrillators (AED) through recommended training scenarios.  Combination of training on airway management, CPR and AED usage on one model.    The proposed innovations will be:  Inclusions of sensors to verify correct placement of AED electrodes and hands during chest compreassions.  No external connection/nodes on chest - sensors will be hidden to allow a more intuitive training experience.  LED verification of correct placement of hands/electrodes/depth of compressions and ventillation efficacy.  Inbuilt AED training scenarios with voice prompts and feedback to Truman model - more realistic training.  Realistic pulse function in neck for extra realism."
"Tesab Engineering Ltd","LoO 07/BIA/10","2007","40,000.00","2014","40,000.00","BT78 5EJ","P1","£ 120,000.00","The proposed is to appoint a Business Improvement Agent to manage the implementation of continuous improvement within the company to increase its capability to compete in the market, to manage the change in working practices and to have the most appropriate working class techniques introduced to ensure continuous competitiveness of the plant."
"Clarehill Plastics Ltd","LoO 07/BIA/12","2007","40,000.00","2014","40,000.00","BT67 0PB","P1","£ 129,000.00","The proposed is to appoint a Business Improvement Agent to manage the implementation of the continuous within the company to increase its capability to compete in the market, to manage the change in working practices and to have the most appropriate world class techniques introduced to ensure the continued competitiveness of the plant."
"Vertical Wind Energy Ltd","LoO 07/0689 PPD","2007","35,000.00","2015","34,787.11","BT39 9AU","P1","£ 98,015.00","The project contained in this proposal, if successful, will allow the Company to set up a  manufacturing facility in Northern Ireland for the assembly of the component parts to  make, initially a 3kW vertical axis wind turbine system for the domestic market. Two of  the promoters, based in Northern Ireland already have experience in the sale and  installation of small horizontal axis turbines as well as other renewable energy solutions      The product will use some existing best in class technology, generators and inverters,  and will then sub contract out the manufacture of the turbine blades, leaving a final  assembly and testing of the finished product at a facility to be based in Nl."
"Denroy Plastics Ltd","LoO 08/BIA/07","2008","25,000.00","2015","25,000.00","BT19 7QY","P1","£ 75,000.00","The proposed is to appoint a Business Improvement Agent to manage the implementation of the continuous within the company to increase its capability to compete in the market, to manage the change in working practices and to have the most appropriate world class techniques introduced to ensure the continued competitiveness of the plant."
"Linton AG-Industrial Ltd","LoO 07/0406 PPD","2007","35,000.00","2014","35,000.00","BT28 2EN","P1","£ 107,667.00","The purpose of this project is to design and develop a mobile slurry separator,  which incorporates Linton's existing fixed Rotoscreen separator into a trailer  mounted system. The objective is to create a separation system which is  completely transportable, low maintenance, simple to set up and operate, while  being cost effective and keeping within the available budgets of co-ops of small  farm holdings. The system needs to conform to stringent environmental  regulations both in the transfer of the slurry into the system and in the collection  and storage of materials post separation.      The project will involve detailed background research to identify the most suitable  components to use in the product, followed by the detailed design and  manufacture of a prototype. The prototype will be extensively testing on a  number of different sites to test how the equipment copes with different  consistencies of slurry and site conditions. Based upon the test results, some  refinement work is anticipated before the company will have a marketable  product."
"Moyle Engineering Ltd","LoO 07/0837 PPD","2007","35,000.00","2014","29,171.00","BT70 1SD","P1","£ 89,982.00","The development of the wet cast equipment has proved successful for the business.  However it has identified that most of the customers would like to have the facility to  manufacture dry cast product.  Dry cast concrete mixes, also known as no slump mixes are used at precast plants to  produce any precast concrete product. They are attractive to concrete product  manufacturer as they can significantly increase production volume and lower both  material and labour costs. Other benefits such as increased strength and durability can  be realised with the low water cementatious material ratio mixes. The increased  production is achieved through the very early product handling strengths which gives  the ability to immediately remove and reuse moulds.  The drycast process is however recognised as requiring improved manufacturing  equipment and techniques over wet cast systems.  Some of the technical challenges that need to be addressed are as follows:  Filling the mould effectively  Greater vibration to effect compaction  Handling pallets efficiently"
"Belfast City Council","Environmental Support","2009","31,821.00","2015","30,524.36","","P2","£ 65,142.00","This programme comprises two elements:    Environmental Industries Management Development Programme – designed to assist local environmental businesses to assess their current positioning within the sector and develop an improvement plan for future growth.  Under this strand, 10 businesses will have environmental audits completed and environmental improvement plans developed.    Local Sourcing Initiative – designed to assist local businesses gain access to purchasing opportunities in large public and private sector organizations.  Providing small businesses with the capabilities to deal effectively with larger businesses and encourage the larger organisations to source more products and supplies locally.  Under this stand, 20 businesses will receive a minimum of three quality meetings with large public and private sector organizations.  It is anticipated that 10 new contracts will be secured as a result of this element of the programme."
"Wellington International Ltd","LoO 07/1028 PPD","2008","31,805.00","2015","26,942.87","BT78 5LU","P1","£ 79,513.00","The project relates to the development of a web based training system designed to facilitate the management of staff training and skills.  Although the system will initially be targeted at the  Construction Industry, CCS anticipates future interest from the highley regulated sectors such as Health, Food, Education, Transport and Pharmaceuticals"
"Ultra Spreader International Ltd","LoO 07/0341 PPD","2007","30,480.00","2014","30,472.00","BT71 4DU","P1","£ 98,610.00","The purpose of this project is to design and build prototype transportable  equipment to comminute, dry and sterilise both sand and soil so that these  operations can conveniently be carried out on customer sites such as golf  courses. Such a product will also appeal to other sports grounds contractors and  sand suppliers and the company has planned that the prototype unit will be  tested and demonstrated at sites in ROI and in Scotland."
