"Organization","Project","Year_start","Total_ammount","Year_end","Paid_ammount","Project_postcode","Priority","Total_cost","Description"
"Footprints Women's Centre","Routes to Skills and Employability","2007","316,205.00","","235,856.04","","P1","£ 486,472.00","The project will support and develop women giving them the confidence and skills to enter the labour market.  The project will recruit unemployed and economically inactive women onto a structured and supported training and education programme designed to meet their needs which will enhance and develop skills, enable achievements of nationally recognised qualifications and extend employment opportunities."
"Footprints Women's Centre","Routes to Skills and Employability (2)","2011","374,191.30","","109,522.00","BT17 0AR","P1","£ 575,679.00","Tfhe 'Routes to Skills and Employability' project will provide a programme designed to create accessible skills and training routes for adult women returners.  The aim of the project is to increase employability and economic activity for women from the Colin Neighbourhood which is situated on the outskirts of West Belfast and includes Twinbrook, Lagmore, Poleglass and Kilwee."
"Action Mental Health","The New Horizons Project","2007","4,901,746.15","","4,889,721.22","","P1","£ 7,681,151.00","The New Horizons project extends opportunities for people with mental health problems to access accredited training and support programmes with a view to increasing their employability.  Participants will engage in person-centred, accredited programmes including:  a. pre-vocational courses  b. vocational training courses  c. personal development & essential skills programmes   d. employment preparation and work-based training programmes."
"Fermanagh Rural Community Initiative","ERNE 2","2007","323,016.00","","254,634.37","BT74 6HR","P1","£ 496,958.00","To compliment existing support for the long term unemployed of Fermanagh with a structured training and progression plan.  The project will offer assistance beyond the current provision and also provide assistance for beneficiaries who economically inactive who cannot avail of current opportunities."
"GEMS Northern Ireland Limited","Minority Ethnic Employment Support Project (MEESP)","2007","127,880.92","","79,297.43","","P1","£ 196,739.64","MEESP aims to address the effects of the identified barriers to employment specifically (but not exclusively) lack of English Language proficiency for unemployed minority ethnic people from areas by helping them to enter sustainable employment. MEESP is based on One-to-one career guidance tailored to meet individual needs including career guidance support to gain English Language skills to help the target group to enter and sustain employment."
"GEMS Northern Ireland Limited","Learning Language for Work","2007","118,644.00","","16,475.32","BT2 7DB","P1","£ 182,529.00","Learning Language for Work is an innovative programme combining ESOL and employability skills;  developed by GEMS NI;  and designed to  equip jobseekers who need help to improve their skills in speaking, understanding, reading and writing English with the English language competence and  employability skills needed for the Northern Ireland labour market."
"GEMS Northern Ireland Limited","M-Power","2007","339,011.22","","287,572.54","","P1","£ 521,558.57","M-Power reaches out to the hardest to help long-term unemployed, economically inactive and workless people living in areas of high social and economic disadvantage in South and East Belfast who experience multiple and often complex barriers to employment with the aim of helping them into sustaniable employment."
"Lenadoon Community Forum","Lenadoon Neighbourhood Training for Employment","2007","179,984.00","","120,385.59","BT11 9PE","P1","£ 276,903.00","For this past twelve years this project has provided valuable education and training opportunities, ranging from basic to advanced I.T Skills, Essential Skills and GCSE Maths and English for long term unemployed, women returners, ethnic minorities and disadvantaged individuals within our community, thus enhancing their employability skills and further education prospects.  In this period over 2,000 individuals have gained a recognised qualification, ranging from NVQ Levels 1-3.  We work very closely with the Lenadoon Women's Group and the Fresh Start Projects who work with marginalised and disadvantaged women and their families.  Some of these individuals come into the Complex with multi social issues including very low self esteem, lacking self confidence and with literacy and numeracy problems.  The Lenadoon Women's Group would provide personal development and support for these women and they would then, in liaison with ourselves encourage the women to progress on to further education and training opportunities that we provide within the complex.  The Fresh Start Project would also work with families and encourage them to progress on to the education and training project.  We have found that this project offers the best value for money in terms of the benefits the package offers, including accessibility, childcare, peer support and study facilities."
"Disability Action","Support Works","2007","306,070.70","","142,810.22","","P1","£ 470,878.00","Support Works will work with 40 disabled trainees with the highest support needs on Training for Success. Trainees will be given individual/small group support to gain essential skills, accredited qualifications and capacity building.    The Project will support employers who provide appropriate workplacements with the aim of securing jobs for disabled trainees.    The project will also design an accessible website providing information and links on training, employment and disability."
"The Cedar Foundation","The Cedar Foundation Training and Brain Injury Services","2007","4,063,637.00","","3,407,100.26","BT9 7AS","P1","£ 6,251,740.00","This project provides people with physical disabilities, including brain injury with specialist support to access inclusive training and employment opportunities.    It delivers a unique model of service which equips participants with the skills to contribute economically and socially to their community.    Key elements of the model: Assessment and Vocational Profiling; Direct Training / Vocational Rehabilitation; and Vocational Case Management, can be delivered singularly or as part of a comprehensive programme."
