"Priority","Organization","Project","Type","Subsidy","Matching","Total_cost","Year_start","Year_end","Project_postcode","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords"
"P1","Peter Martin T/a Peter Martin Engineering","RD0911825  Compete Jump","ERDF","19955","N/A","39910","2012","2015","BT35 9RL","Northern Ireland","N/A","Third","Newry and Mourne","Newry","BT35 9RL","54.0619667","-6.4413371"
"P1","Mobipaypoint UK Ltd","RD0413815 - To design (a) Mozobi Go, a mobile payments device and (b) Design & build a Payments Swit","ERDF","243913","N/A","594910","2014","2016","N/A","Northern Ireland","N/A","Third","Newry and Mourne","Newry","BT34 2DH","54.1684976","-6.3349263"
"P1","EV-U Solutions Limited","RD1213019 - EV-U Secure, Mobile, Evaluation Solutions","ERDF","8010","N/A","16020","2014","N/A","N/A","Northern Ireland","N/A","Third","Derry","Londonderry","BT48","55.0378387","-7.3233523"
"P1","Sisaf Ltd","RD0509207","ERDF","192022.18","N/A","240026.99","2009","2015","BT37 0QB","Northern Ireland","N/A","Third","Coleraine","Coleraine","BT52 1SA","55.1511857","-6.6748021"
"P1","Fonezone Telecommunications Ltd T/a Barclay Communications","LoO 10/0531 MIS","ERDF","21900","N/A","66000","2010","2015","BT7 1DT","Northern Ireland","N/A","Third","Belfast","Belfast","BT7 1DT","54.5900982","-5.926903"
"P1","Repknight Ltd","RD0612583-The development of a real-time information harvesting and analysis platform for the securi","ERDF","338486","N/A","752192","2013","2016","N/A","Northern Ireland","N/A","Third","Belfast","Belfast","BT12 5GH","54.5922279","-5.9357411"
"P1","Bushmills Hotels Limited T/A Bushmills Inn","LoO 1303/101201855 MIS","ERDF","5829","N/A","15863","2013","2016","N/A","Northern Ireland","N/A","Second","Moyle","Bushmills","BT57 8QG","55.2062634","-6.5253469"
"P1","Maghera Joinery Works Limited","RD0312011 - Develop solutions to furniture needs","ERDF","126934","N/A","384648.48","2012","2016","N/A","Northern Ireland","N/A","Second","Magherafelt","Maghera","BT46 5JG","54.8431738","-6.6927248"
"P1","Cooneen Defence Limited","LoO 08/0754 PPD","ERDF","35000","N/A","99950","2008","2014","N/A","Northern Ireland","N/A","Second","Fermanagh","Fivemiletown","BT75 0NJ","54.3323284","-7.2971228"
"P2","Empire Meats Ltd","LoO 09/0289 SFA","ERDF","65400","N/A","163500","2009","2015","N/A","Northern Ireland","N/A","Second","Fermanagh","Enniskillen","BT92 7FH","54.2378951","-7.1853926"
"P1","Design Development Programme","Design Development Programme 2013/2014","ERDF","700000","N/A","700000","2013","2016","N/A","Northern Ireland","N/A","Second","Cookstown","Cookstown","BT80 8DN","54.646827","-6.7484847"
"P1","Design Development Programme","Design Development Programme 2014-2015","ERDF","800000","N/A","800000","2014","2016","N/A","Northern Ireland","N/A","Second","Cookstown","Cookstown","BT80 8DN","54.646827","-6.7484847"
"P1","Faire (NI) Ltd","RD0309154","ERDF","59546","N/A","91609","2009","2015","BT34 3TG","Northern Ireland","N/A","Second","Belfast","Belfast","BT1 2ED","54.6015996","-5.9259809"
"P3","Net 1 Limited","Fermanagh & South Tyrone Rural Broadband Infill Scheme","ERDF","115382.27","N/A","230764.54","2009","2014","N/A","Northern Ireland","N/A","Second","Belfast","Belfast","BT3 9JL","54.630437","-5.893961"
"P1","Lagan Technologies Ltd","RD1208042 - Partner Readiness Solution","ERDF","242410","N/A","692600","2009","2015","N/A","Northern Ireland","N/A","Second","Belfast","Belfast","BT2 8GD","54.5934954","-5.9280207"
"P1","Lagan Technologies Ltd","RD0109058 - Adult Casre and Protective Services (ACPS)","ERDF","249970","N/A","714200","2009","2015","N/A","Northern Ireland","N/A","Second","Belfast","Belfast","BT2 8GD","54.5934954","-5.9280207"
"P3","Granville Ecopark Limited","LoO 11717 EREF","ERDF","3750000","N/A","12500000","2008","2016","N/A","Northern Ireland","N/A","Second","Belfast","Belfast","BT9 6FL","54.579871","-5.9488467"
"P1","Cloud 9 Commercial Innovations Limited","LoO 1210/101171013 MIS","ERDF","25000","N/A","60880","2012","2016","N/A","Northern Ireland","N/A","Second","Belfast","Belfast","BT3 9DT","54.6119114","-5.8973189"
"P1","Clarke Road Contracts Ltd","RD0312992 - Commercialisation of the CRC Connect Concept","ERDF","11115","N/A","17100","2012","2015","N/A","Northern Ireland","N/A","Second","Ballymena","Ballymena","BT44 8PE","54.8732744","-6.4791586"
"P1","Joseph Mackle Limited T/A Mackle Snacks","RD0113731 - Low Fat Healthy Snacks and Baby Snacks","ERDF","3565","N/A","7130","2013","2015","N/A","Northern Ireland","N/A","Second","Armagh","Dungannon","BT71 7HY","54.4334321","-6.6813207"
"P1","Savage & Whitten Wholesale Ltd","LoO 1408/101302017 MIS","ERDF","25000","N/A","55556","2014","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","John Thompson & Sons Ltd","Project 2/I","ERDF","15000","N/A","30280","2007","2014","BT15 3GU","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","John Thompson & Sons Ltd","RD0109075 - Reduction of Broiler Production Costs Through on Farm Yield Loss Reduction","ERDF","33462","N/A","66924","2009","2014","BT15 3GU","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","John Thompson & Sons Ltd","RD0610617 (Collaborative project with QUB)","ERDF","37352","N/A","478036","2010","2015","BT15 3GU","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","John Thompson & Sons Ltd","RD0110487 - Reduction of Broiler Production Costs Through on Farm Yield Loss Reduction","ERDF","351955.56","N/A","1066532","2010","2015","BT15 3GU","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","John Thompson & Sons Limited","LoO: 11/0826 MIS","ERDF","25000","N/A","50000","2011","2016","BT15 3GU","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Nosho Ltd/Bodibase","RD0812632 - Nosho","ERDF","21575","N/A","43150","2012","2016","BT15 3JQ","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Arttoo Ltd","SMNI07-047 - Intelligent Facade-Wind Generating, Pressure Equalised Cladding Panels","ERDF","38356.5","N/A","51142","2008","2014","BT15 5AJ","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P3","Tony Alan Johnston","NI Farm Forestry Log-Fired Boiler project","ERDF","2406","N/A","6015","2010","2015","BT16 1XA","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Crawfordsburn Inn Limited T/a Old Inn Crawfordsburn","LoO 11/0940 MIS","ERDF","8105","N/A","27118","2012","2015","BT19 1JF","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P2","MIS Internally Created Application","Fantasy Venture","ERDF","344079.9","N/A","690405","2012","2016","BT3 9QQ","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Jakaya Limited","RD0612575 - Jakaya: a platform for World Collaboration","ERDF","43388","N/A","66750.77","2012","2016","BT30 6AB","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Mediclim Europe Ltd","LoO 11/0524 MIS","ERDF","15178","N/A","37944","2011","2015","BT34 3SA","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Eamon Hughes, Declan Hughes & Vera Hughes T/a Engineering & Construction Products","LoO 07/0321 MIS","ERDF","25000","N/A","73204","2007","2014","BT34 4AX","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","William Johnston T/a Ocean Specialist Engineering Services","RD1109441  Machine Mounting Rock Drill","ERDF","11168","N/A","16186","2010","2015","BT40 3RG","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Donald Saville T/a Island Shellfish","RD0210528 - Micro Hatchery For Shellfish","ERDF","49572","N/A","99145","2010","2015","BT40 3RL","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Hampton Conservatories Limited","RD1212712 -Innovative re-design of roof for Orangerie","ERDF","46556","N/A","103457","2013","2016","BT56 8NE","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P3","Richard Hunniford","Hunniford - 500Kwe Anaerobic Digester","ERDF","175021","N/A","1613000","2010","2015","BT62 1QW","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Doreen & Maurice Davison T/a Davisons Quality Foods","LoO 12/0068 MIS","ERDF","5345","N/A","12310","2012","2015","BT62 1RR","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","LD2 Ltd","LoO 09/0321 MIS","ERDF","14375","N/A","28750","2009","2015","BT78 5LU","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Patrick McCormack T/a Euroscroll","LoO 09/0119 MIS","ERDF","5742","N/A","14790","2009","2014","BT80 9NP","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P2","M & K Quarry Plant Ltd","LoO 09/0176 SFA","ERDF","33500","N/A","170000","2009","2015","BT80 9PR","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Clear Spirit Design Ltd","RD0312015 - Smart Garment Designs for Lifestyle Challenges","ERDF","49831","N/A","67340","2012","2016","BT9 5HP","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Mimix Europe Ltd","RD0709293 - High Performance MMICs and Packaging for Use in Microwave Radar Bands","ERDF","27696","N/A","55391","2009","2014","BT9 5NW","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
