"PRIORITY","PROJECT TITLE","LEAD APPLICANT","Approved Total Eligible Expenditure Figure","IN PRINCIPLE TOTAL GRANT (£)"
"P1","Business Gateway Plus Argyll & Bute and Arran & Cumbrae","Argyll and Bute Council","110,300","44,120"
"P1","Kintyre Renewables Hub","Argyll and Bute Council","11,418,835","3,798,835"
"P1","Connected Hebrides Project","Comhairle nan Eilean Siar","400,000","160,000"
"P1","Outer Hebrides Small Business Assistance Scheme","Comhairle nan Eilean Siar","840,000","336,000"
"P1","Creative Industries and Media Centre - Stornoway","Comhairle nan Eilean Siar","2,600,000","1,040,000"
"P1","Business GatewayPlus","Comhairle nan Eilean Siar","150,000","60,000"
"P1","CFPA Phase III Development","Cromarty Firth Port Authority","6,500,000","2,600,000"
"P1","Scottish Biomass Heat Scheme for Business - H&I","Forestry Commission Scotland","1,350,000","540,000"
"P1","Renewable Heat Advice and Business Support","Highland Birchwoods","228,407","91,363"
"P1","HIE Priority 1 Capital SDB Phase 2 Agreement","Highlands & Islands Enterprise","15,250,000","6,100,000"
"P1","HIE Priority 1 Revenue SDB Phase 2 Agreement","Highlands & Islands Enterprise","10,000,000","4,000,000"
"P1","HIE Priority 1 Revenue SDB Agreement","Highlands & Islands Enterprise","9,537,500","3,815,000"
"P1","HIE Priority 1 Capital SDB Agreement","Highlands & Islands Enterprise","23,300,000","9,320,000"
"P1","Rova Head laydown sites","Lerwick Port Authority","1,288,288","515,315"
"P1","A Community Enterprise Centre for Mull & Iona","Mull and Iona Community Trust","1,337,862","528,162"
"P1","New Start Highland Enterprise Centre","New Start Highland","1,161,893","464,757"
"P1","North Lands Creative Glass Development Project","North Lands Creative Glass","325,000","130,000"
"P1","Enterprise Area - Hatston","Orkney Islands Council","2,100,000","840,000"
"P1","Orkney Marine Renewables Infrastructure - Hatston and VTS","Orkney Islands Council","8,400,000","3,360,000"
"P1","Stromness - Marine Renewables Service Base","Orkney Islands Council","9,200,000","1,815,000"
"P1","Lyness Marine Renewables Facility - Hoy","Orkney Islands Council","2,975,000","1,190,000"
"P1","H&I Scottish Co-Investment Fund","Scottish Enterprise","5,143,829","2,057,532"
"P1","Scottish Investment Bank Loan Fund - HIE Area 2010-2","Scottish Enterprise","5,000,000","2,000,000"
"P1","Marine Energy R&D Fund","Scottish Enterprise","3,803,327","1,521,331"
"P1","Scrabster Harbour Marine Renewable Infastructure","SCRABSTER HARBOUR TRUST","8,852,947","2,213,237"
"P1","Lochboisdale Regeneration - Enhanced Phase 1","Sealladh na Beinne Moire","4,792,479","1,799,404"
"P1","Loch Carnan Community Wind Farm","Sealladh na Beinne Moire","10,341,927","2,400,000"
"P1","Promoting Business Energy Efficiency in Shetland","Shetland Islands Council","666,700","266,700"
"P1","Skills for Growth - H&I","Skills Development Scotland","102,049","40,820"
"P1","Starter Business Units in Inverness","The Highland Council","1,500,000","600,000"
"P1","The Highland Council Business Gateway Plus","The Highland Council","85,000","34,000"
