"PRIORITY","PROJECT TITLE","LEAD APPLICANT","Approved Total Eligible Expenditure Figure","IN PRINCIPLE TOTAL GRANT (£)"
"P1","Apex Ascend","Apex Scotland","737,529","512,529"
"P1","Project Craftwork, Enhancing Employability Skills, South Kin","Argyll and Bute Council","158,606","74,576"
"P1","Project Craftwork, Oban & Lorn, (Model Interventions)","Argyll and Bute Council","244,896","122,448"
"P1","Project Craftwork, All Trades Training,","Argyll and Bute Council","490,631","245,316"
"P1","Enhancing Employability Skills, Cowal & Bute Proj. Craftwork","Argyll and Bute Council","170,606","85,302"
"P1","Enhancing Employability Skills, South Kintyre & Oban","Argyll and Bute Council","236,847","118,423"
"P1","Youthbuild","Barnardo's Scotland","205,247","92,361"
"P1","Barnardo's Works - Highlands and Islands","Barnardo's Scotland","973,297","436,560"
"P1","Can- Do","Calman Trust Ltd","2,379,910","977,667"
"P1","Western Isles Rural Opportunities Programme","Comhairle nan Eilean Siar","647,976","323,988"
"P1","Western Isles Rural Opportunities","Comhairle nan Eilean Siar","226,243","100,404"
"P1","Outer Hebrides Employability Support Programme","Comhairle nan Eilean Siar","2,475,152","1,237,576"
"P1","Include-Us.","Comhairle nan Eilean Siar","1,436,422","1,005,495"
"P1","Combating Social Exclusion","Cothrom Ltd","61,479","30,740"
"P1","Day1 application April/May 2008","Day1","87,056","41,006"
"P1","Day1 Youth Mentoring towards Sustainable Employment","Day1","237,480","118,480"
"P1","Supported Employment Employability Orkney","employability orkney","200,002","62,308"
"P1","Supported Employment","employability orkney","247,762","123,856"
"P1","Inverness College Response to the Economic Downturn","Inverness College","555,078","277,539"
"P1","Meeting the demand for full-time college places in Inverness","Inverness College","94,681","65,416"
"P1","ACCESS TO FE COURSES","LEWS CASTLE COLLEGE","120,974","60,487"
"P1","Community Employment Training","Merkinch Enterprise","68,530","34,265"
"P1","Employment Training in the Community","Merkinch Enterprise","216,472","129,533"
"P1","Information Technology Training for the Unemployed","Merkinch Enterprise","249,309","174,516"
"P1","ESOL provision for West Moray","Moray College","258,232","129,116"
"P1","RAFT - West Moray area","Moray College","132,695","49,457"
"P1","Moving On Job Crew Project","Moving On Employment Project","308,739","137,683"
"P1","Job crew approach to supported employment","Moving On Employment Project","329,109","222,109"
"P1","New Start Highland Breaking the Cycle","New Start Highland","385,872","170,362"
"P1","Towards Equality","New Start Highland","1,049,741","563,415"
"P1","Aspire, Transform, Achieve","New Start Highland","1,393,269","975,288"
"P1","ESOL Training","North Highland College","107,574","53,787"
"P1","English Language Training in the Highlands","North Highland College","241,609","120,805"
"P1","Practical Training for Employability","North Highland College","167,457","83,729"
"P1","Enterprise Sells","North Highland College","336,580","149,384"
"P1","Access to Further Education","North Highland College","187,850","93,925"
"P1","Highland Energy Collaboration","North Highland College","798,959","559,241"
"P1","The Personal Empowerment Programme","North Highland College","445,482","311,837"
"P1","ESOL","North Highland College","271,961","190,373"
"P1","Orkney Clubhouse","Orkney Blide Trust","255,393","167,372"
"P1","Childminding Recruit & Train","Scottish Childminding Association","45,728","22,864"
"P1","Childminding Recruit & Training","Scottish Childminding Association","148,200","74,100"
"P1","Positive Steps to Employment in Highland","Scottish Council for Voluntary Organisations","558,584","279,292"
"P1","Highland WorkWithUs","Scottish Council for Voluntary Organisations","124,922","62,461"
"P1","Sgailean,Western Isles Foyer","Sgailean, Western Isles Foyer.","413,000","247,500"
"P1","Bridges Project","Shetland Islands Council","88,619","36,119"
"P1","Focus on work-life balance.","Shirlie Project","483,893","208,735"
"P1","Highland Integrated Supported Employment","Shirlie Project","1,164,519","521,240"
"P1","Highland Supported Employment","Shirlie Project","801,556","507,304"
"P1","Local Training Opportunities Highlands and Islands","Skills Development Scotland","3,174,536","1,904,697"
"P1","JobConnect @ badaguish (4)","Speyside Trust","134,400","67,200"
"P1","The Right Staff","Springboard Charitable Trust","224,261","95,979"
"P1","Recruiting the Right Staff","Springboard Charitable Trust","314,599","156,963"
"P1","TAG Highland","TAG Highland - Highland Health Board","450,593","212,793"
"P1","TAG Highland Making a Difference","TAG Highland - Highland Health Board","1,198,786","563,027"
"P1","TAG Highland Closing the Gap","TAG Highland - Highland Health Board","774,352","370,051"
"P1","T2E Transport to Employment - 2008 project","The Highland Council","19,980","9,980"
"P1","ESOL Quality Development","The Highland Council","134,633","67,316"
"P1","Community Based Language Assistants 2008","The Highland Council","109,092","54,546"
"P1","Deaf Communication Project – Training Hub Initiative 2009","The Highland Council","66,000","33,000"
"P1","T2E Shadow Round Application","The Highland Council","75,000","37,500"
"P1","Deaf Communication Project - Training Hub initiative 2008","The Highland Council","65,000","32,500"
"P1","Community Based Language Assistants 2009","The Highland Council","99,943","49,943"
"P1","Deaf Communication Project Training Hub Initiative 2010","The Highland Council","127,000","63,500"
"P1","Community Language Assistants 2010","The Highland Council","99,382","49,691"
"P1","ESOL Skills for Life for Migrant Workers and their Families","The Highland Council","310,047","155,023"
"P1","Activity Agreements","The Highland Council","1,073,445","644,067"
"P1","Youth Work Experience","The Highland Council","747,002","373,501"
"P1","Create and Employ","The Highland Council","746,000","373,000"
"P1","Strategic Employment Projects","The Highland Council","584,478","292,239"
"P1","Highland Recharge","The Prince's Trust","27,435","13,717"
