"PRIORITY","PROJECT TITLE","LEAD APPLICANT","Approved Total Eligible Expenditure Figure","IN PRINCIPLE TOTAL GRANT (£)"
"P1","Youthbuild National","Action for Children","692,805","253,818"
"P1","Youthbuild National (year 1)","Action for Children","582,029","215,351"
"P1","Action for Children Youthbuild national","Action for Children","878,508","325,048"
"P1","N2Employment","Apex Scotland","226,339","75,574"
"P1","ENHANCING EMPLOYABILITY","AYR COLLEGE","543,909","244,759"
"P1","Sustainable Training and Employability Partnership","AYR COLLEGE","2,755,188","1,184,731"
"P1","Youthbuild-Paisley","Barnardo's Scotland","541,267","149,797"
"P1","Barnardo's Works Renfrewshire 2","Barnardo's Scotland","299,678","121,838"
"P1","Moving On Up","BRAG Enterprises Ltd","210,251","94,612"
"P1","Ready-Steady-Work","BRAG Enterprises Ltd","242,957","97,182"
"P1","Employability Skills for Fife","BRAG Enterprises Ltd","199,001","89,551"
"P1","Central IT","Central College","159,823","42,074"
"P1","CENTRAL IT 08","Central College","349,312","104,816"
"P1","Central Training","Central College","442,774","177,110"
"P1","Edinburgh Partnership High Support Needs Consortium","City of Edinburgh Council","2,418,784","1,088,453"
"P1","Edinburgh Partnership Competitive Communities ESF Pilot Pro","City of Edinburgh Council","6,903,064","2,632,823"
"P1","HSNC - Progressing to Employment with Personalised Support","City of Edinburgh Council","1,423,173","569,114"
"P1","Clackmannanshire Works","Clackmannanshir e Council","4,920,330","2,195,602"
"P1","Made to Measure: Employability Skills for School Leavers","Coatbridge College","273,967","109,587"
"P1","CODE","Cornerstone Community Care","243,145","102,121"
"P1","CODE2","Cornerstone Community Care","295,857","130,177"
"P1","Skills for Work","CraigOwl Communities","217,856","89,778"
"P1","Dundee European Programme ESF v2","Dundee City Council","11,328,586","3,425,909"
"P1","Back on Track - NEET Provision","Dundee College","384,786","173,154"
"P1","Employability in the Oil and Gas Sector","Dundee College","233,077","104,885"
"P1","East Ayrshire Council - EA CPP - Improving Opportunity ESF","East Ayrshire Council","10,523,026","4,243,841"
"P1","Make the Move","ENABLE Scotland","724,708","317,193"
"P1","Make the Move - People with learning disabilities into work","ENABLE Scotland","757,094","336,941"
"P1","Make the Move - Jobseekers who have Learning Disabilities","ENABLE Scotland","760,311","323,011"
"P1","EMAS (2008)","Ethnic Minority Enterprise Centre","225,136","101,311"
"P1","Fife Women's Technology Centre","Fife Council","353,629","81,888"
"P1","Tackling Worklessness in Fife","Fife Council","8,880,354","3,996,159"
"P1","Fife Council - Fife Women's Technology Centre","Fife Council","613,025","131,644"
"P1","Moving On III","Forth Sector","659,360","269,628"
"P1","WorkingWell","Forth Sector","1,330,865","505,729"
"P1","Forth Bridge","Forth Sector","821,449","312,143"
"P1","Navigate The Future","Galgael","164,397","51,747"
"P1","Navigate Life Y1","Galgael","284,626","128,081"
"P1","Navigate Life","Galgael","230,901","103,905"
"P1","Navigate Life Y3","Galgael","455,622","205,030"
"P1","New Jobs for Disabled People 6","Glasgow Centre for Inclusive Living","293,324","131,995"
"P1","New Jobs for Disabled People 7","Glasgow Centre for Inclusive Living","438,220","188,434"
"P1","New Jobs for Disabled People 8","Glasgow Centre for Inclusive Living","490,104","210,591"
"P1","GCIL Professional Careers","Glasgow Centre for Inclusive Living","904,781","242,945"
"P1","New Jobs for Disabled People 9","Glasgow Centre for Inclusive Living","615,657","267,127"
"P1","Glasgow Vocational Programme","Glasgow City Council","805,154","362,319"
"P1","Supported and Enhanced Vocational Training","Glasgow City Council","570,310","256,639"
"P1","Glasgow Works","Glasgow City Council","23,034,629","10,073,043"
"P1","Young Parents - Glasgow Cares","Glasgow City Council","427,610","131,745"
"P1","Gangs Into Employment Initiative","Glasgow City Council","481,911","212,847"
"P1","Learning Disabilites Supported Employment Service","Glasgow City Council","306,069","130,953"
"P1","Choice Works","Glasgow City Council","540,993","172,286"
"P1","Ways to Work","Glasgow Clyde College","457,705","205,967"
"P1","Building Glasgow's Young People","Glasgow Clyde College","426,825","192,071"
"P1","Community Based Training for Employment","Glasgow Clyde College","721,367","288,547"
"P1","Employment Training for those whose 1st Language is not English","Glasgow Clyde College","562,878","225,151"
"P1","Building Glasgow's Young People 2008-2010","Glasgow Clyde College","2,073,971","891,807"
"P1","Opening Employability Options","Glasgow Clyde College","296,542","127,513"
"P1","Supported Pathways","Glasgow Clyde College","265,537","114,181"
"P1","The 4As - Attendance, Attitude, Achivement and Ambition 2009","Glasgow Clyde College","222,626","89,051"
"P1","Employment Pathways for Speakers of Other Languages","Glasgow Clyde College","566,268","226,507"
"P1","Community Based Skills for Employment II","Glasgow Clyde College","968,658","387,464"
"P1","Get Set Glasgow!","Glasgow Clyde College","397,775","162,425"
"P1","Flexible Futures for the Service Sector in Scotland","Glasgow Clyde College","371,797","154,187"
"P1","New Scots: Language and Skills for Employment","Glasgow Clyde College","310,582","123,582"
"P1","SkillsGAP Programme","Glasgow Clyde College","290,223","120,353"
"P1","Opening Employability Options 2009","Glasgow Clyde College","309,270","132,986"
"P1","Supported Pathways 2009","Glasgow Clyde College","322,061","138,486"
"P1","Get Set Glasgow 2010!","Glasgow Clyde College","407,952","165,562"
"P1","The Flexible Futures for the Service Sector in Scotland 2010","Glasgow Clyde College","374,075","152,625"
"P1","SkillsGAP 2010","Glasgow Clyde College","290,521","118,641"
"P1","New Scots: Language and Skills for Employment 2010","Glasgow Clyde College","316,429","119,429"
"P1","Education_Employment Pathway for Speakers of Other Languages","Glasgow Clyde College","607,209","227,318"
"P1","Community Based Engagement & Training Skills for Employment2","Glasgow Clyde College","1,053,915","421,566"
"P1","Supported Pathways 2010","Glasgow Clyde College","338,445","145,531"
"P1","Opening Employability Options 2010","Glasgow Clyde College","319,655","143,844"
"P1","Building Glasgow's Young People 2010 - 2011","Glasgow Clyde College","1,388,868","624,991"
"P1","Routes to Employability","Glasgow College of Nautical Studies","153,057","68,876"
"P1","Positive Pathways to Employment","Glasgow College of Nautical Studies","268,309","107,324"
"P1","Work in Progress","Glasgow Council for the Voluntary Sector","171,968","57,019"
"P1","Pathways to Employability","Glasgow Kelvin College","480,583","168,204"
"P1","Employability Skills@Glasgowmet","Glasgow Metropolitan College","700,619","315,278"
"P1","Women Into Construction@Glasgow Met","Glasgow Metropolitan College","204,087","91,839"
"P1","Employability Skills For Minority Ethnic Groups","Glasgow Metropolitan College","320,454","144,204"
"P1","Employability Project@GlasgowMET","Glasgow Metropolitan College","731,867","329,340"
"P1","Glasgow Met - Employability Skills for Ethnic Minorities","Glasgow Metropolitan College","337,139","151,712"
"P1","GlasgowMet - Women Into Construction2009","Glasgow Metropolitan College","224,581","101,061"
"P1","Women Into Construction2010@GlasgowMET","Glasgow Metropolitan College","216,810","97,564"
"P1","Newstart2010@GlasgowMET","Glasgow Metropolitan College","687,276","309,274"
"P1","Employability Skills for Minority Ethnic Groups@GlasgowMET","Glasgow Metropolitan College","304,662","137,097"
"P1","Inverclyde CPP ESF Employability Programme","Inverclyde Council","4,546,958","1,584,471"
"P1","The Routes to Work Programme","James Watt College","229,931","103,468"
"P1","Positive Action on Worklessness","Jobs & Business Glasgow","174,309","61,744"
