"Priority","Organisation","Title","Organisation","Programme","Geographical area","Region","Total Operation Cost at approval","Total ESF at approval"
"P1","Department for Education & Skills (Welsh Government) ","ReACT III","Department for Education & Skills (Welsh Government) ","ESF","West Wales and the Valleys ","West Wales and the Valleys ","£16.7m ","£10m "
"P2","Wales Council for Voluntary Action (WCVA) ","Active Inclusion Fund – WWV","Wales Council for Voluntary Action (WCVA) ","ESF","West Wales and the Valleys ","West Wales and the Valleys ","£16.5m ","£11.5m "
"P2","Department for Local Government and Communities (Welsh Government) ","Communities4Work ","Department for Local Government and Communities (Welsh Government) ","ESF","West Wales and the Valleys ","West Wales and the Valleys ","£22.5m 
","£14.4m "
"P2","Department for Local Government and Communities (Welsh Government) ","Communities4Work ","Department for Local Government and Communities (Welsh Government) ","ESF","East Wales ","East Wales ","£7.5m ","£3.7m "
"P2","Torfaen County Borough Council ","Bridges2Work ","Torfaen County Borough Council ","ESF","Torfaen, Caerphilly, Bridgend, Blaenau Gwent, Merthyr Tydfil ","West Wales and the Valleys ","£7m ","£5.5m "
"P2","Department for Local Government & Communities (Welsh Government) ","Parents, Childcare and Employment (PaCE) ","Department for Local Government & Communities (Welsh Government) ","ESF","West Wales & the Valleys, East Wales ","West Wales & the Valleys, East Wales ","£10.9m","£6.8m"
"P1","Wales Council for Voluntary Action ","Active Inclusion Fund ","Wales Council for Voluntary Action ","ESF","East Wales ","East Wales ","£6m ","£3m "
"P3","Department of Health (Welsh Government) ","Healthy Working Wales (In-Work Service) ","Department of Health (Welsh Government) ","ESF","West Wales & the Valleys ","West Wales & the Valleys ","£4.8m ","£3.3m "
"P2","Department of Health (Welsh Government) ","Healthy Working Wales (Out of Work Service) ","Department of Health (Welsh Government) ","ESF","West Wales & the Valleys & East Wales ","West Wales & the Valleys & East Wales ","£7.2m ","£4.8m "
"P2","Neath Port Talbot County Borough Council ","Workways ","Neath Port Talbot County Borough Council ","ESF","Neath Port Talbot, Swansea, Carmarthenshire, Pembrokeshire, Ceredigion ","West Wales & the Valleys ","£9.1m ","£7.5m "
"P4","Chwarae Teg ","Agile Nation 2 ","Chwarae Teg ","ESF","West Wales and the Valleys ","West Wales and the Valleys ","£10.4m ","£8m "
"P3","Chwarae Teg ","Agile Nation 2 ","Chwarae Teg ","ESF","East Wales ","East Wales ","£2m ","£1.5m "
"P2","Welsh Government ","Apprenticeships ","Welsh Government ","ESF","West Wales and the Valleys ","West Wales and the Valleys ","£78.4m ","£40.7m "
"P2","Welsh Government ","Apprenticeships East Wales ","Welsh Government ","ESF","East Wales ","East Wales ","£76.6m ","£5.7m "
"P2","Welsh Government ","Apprenticeships Skills Enhancement Programme I ","Welsh Government ","ESF","West Wales and the Valleys ","West Wales and the Valleys ","£65.7m ","£32.2m "
