"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords","LAU1_CODE","LAU1_NAME"
"P3","UK Steel Enterprise Limited","Ebbw Vale Innovation Centre Phase 2","ERDF",1499423,0,3748557,"03/2007","09/2013","Wales","Wales","First","Blaenau Gwent","Ebbw Vale","NP23 8XA","51.7597374","-3.199924","UKL1605","Blaenau Gwent"
"P1","Blaenau Gwent County Borough Council","A KS 3 Intervention","ESF",3671249,0,6832349,"03/2009","07/2012","Wales","Wales","First","Blaenau Gwent","Ebbw Vale","NP23 6XB","51.7847992","-3.209331","UKL1605","Blaenau Gwent"
"P3","Blaenau Gwent County Borough Council","Blaenau Gwent Learning Zone","ERDF",8075000,0,31776456,"04/2009","06/2015","Wales","Wales","First","Blaenau Gwent","Ebbw Vale","NP23 6XB","51.7847992","-3.209331","UKL1605","Blaenau Gwent"
"P5","Blaenau Gwent County Borough Council","Ebbw Vale Town Centre Regeneration","ERDF",4524997,0,13257243,"03/2008","06/2015","Wales","Wales","First","Blaenau Gwent","Ebbw Vale","NP23 6XB","51.7847992","-3.209331","UKL1605","Blaenau Gwent"
"P5","Blaenau Gwent County Borough Council","Abertillery Town Centre Regeneration","ERDF",3163982,0,12940323,"10/2008","06/2015","Wales","Wales","First","Blaenau Gwent","Ebbw Vale","NP23 6XB","51.7847992","-3.209331","UKL1605","Blaenau Gwent"
"P3","Blaenau Gwent County Borough Council","Works Primary Distributor Route","ERDF",3795573,0,9955389,"03/2013","06/2015","Wales","Wales","First","Blaenau Gwent","Ebbw Vale","NP23 6XB","51.7847992","-3.209331","UKL1605","Blaenau Gwent"
"P5","Time Banking Wales","Community Enterprise Networks","ERDF",1819307,0,2583155,"02/2012","01/2015","Wales","Wales","First","Blaenau Gwent","Tredegar","NP22 3DQ","51.7720814","-3.2458476","UKL1605","Blaenau Gwent"
"P5","Bridgend County Borough Council","Maesteg Phase Four","ERDF",1787304,0,2533745,"01/2011","06/2015","Wales","Wales","First","Bridgend","Bridgend","CF31","51.5054145","-3.5797159","UKL1705","Bridgend"
"P5","Bridgend County Borough Council","Bridgend Town Centre","ERDF",3506411,0,8384963,"04/2010","06/2015","Wales","Wales","First","Bridgend","Bridgend","CF31","51.5054145","-3.5797159","UKL1705","Bridgend"
"P3","Bridgend County Borough Council","South East Wales Interchange Package 2","ERDF",499521,0,920644,"06/2009","07/2014","Wales","Wales","First","Bridgend","Bridgend","CF31","51.5054145","-3.5797159","UKL1705","Bridgend"
"P1","Bridgend County Borough Council","Prevent 14 - 19","ESF",6678189,0,10839642,"09/2010","01/2015","Wales","Wales","First","Bridgend","Bridgend","CF31","51.5054145","-3.5797159","UKL1705","Bridgend"
"P5","Wales Co operative Centre","Social Enterprise Support Project","ERDF",3523708,0,7105154,"01/2009","06/2015","Wales","Wales","First","Caerphilly","Caerphilly","CF83 2AX","51.5705441","-3.2456245","UKL1604","Caerphilly"
"P2","Wales Co operative Centre","Business Succession And Co-operative Consortia","ERDF",649997,0,1263109,"12/2010","06/2015","Wales","Wales","First","Caerphilly","Caerphilly","CF83 2AX","51.5705441","-3.2456245","UKL1604","Caerphilly"
"P2","Wales Co operative Centre","Social Enterprise Support (Competitiveness Areas)","ERDF",436253,0,736253,"04/2011","06/2015","Wales","Wales","First","Caerphilly","Caerphilly","CF83 2AX","51.5705441","-3.2456245","UKL1604","Caerphilly"
"P1","Caerphilly County Borough Council","Regional SEN Transition To Employment Initiative","ESF",9583874,0,16639062,"07/2010","09/2014","Wales","Wales","First","Caerphilly","Hengoed","CF82 7PG","51.6450321","-3.2498477","UKL1604","Caerphilly"
"P5","Caerphilly County Borough Council","Newbridge Regeneration Programme","ERDF",6502503,0,14135208,"04/2007","06/2015","Wales","Wales","First","Caerphilly","Hengoed","CF82 7PG","51.6450321","-3.2498477","UKL1604","Caerphilly"
"P3","Caerphilly County Borough Council","Central Valleys Railway Package Phase 2","ERDF",2652530,0,6082682,"06/2008","05/2015","Wales","Wales","First","Caerphilly","Hengoed","CF82 7PG","51.6450321","-3.2498477","UKL1604","Caerphilly"
"P5","Caerphilly County Borough Council","Bargoed Regeneration Programme","ERDF",4339830,0,9376645,"10/2008","06/2015","Wales","Wales","First","Caerphilly","Hengoed","CF82 7PG","51.6450321","-3.2498477","UKL1604","Caerphilly"
"P3","Chwarae Teg","Agile Nation","ESF",8783573,0,12849547,"04/2008","03/2015","Wales","Wales","First","Cardiff","Cardiff","CF24 5JW","51.4779768","-3.1599503","UKL2207","Cardiff"
"P2","Finance Wales Jeremie","JEREMIE Fund (P2 Conv)","ERDF",37895000,0,75790000,"04/2009","12/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4767351","-3.1675492","UKL2207","Cardiff"
"P2","Finance Wales Jeremie","JEREMIE Fund (P2 Comp)","ERDF",5099996,0,40810004,"04/2009","12/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4767351","-3.1675492","UKL2207","Cardiff"
"P3","Sustrans","Valleys Cycle Network","ERDF",3366871,0,8515993,"02/2008","01/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4661051","-3.1662083","UKL2207","Cardiff"
"P2","Wales Council for Voluntary Action","Gateway","ESF",15127860,0,29354949,"10/2008","03/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4651864","-3.1677197","UKL2207","Cardiff"
"P5","Wales Council for Voluntary Action","Local Community Economic Development Initiative","ERDF",2715625,0,3849766,"02/2011","03/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4651864","-3.1677197","UKL2207","Cardiff"
"P1","Finance Wales Jeremie","JEREMIE Fund (P1 Conv)","ERDF",14355000,0,28710000,"04/2009","12/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4767351","-3.1675492","UKL2207","Cardiff"
"P1","Finance Wales Jeremie","JEREMIE Fund (P1 Comp)","ERDF",13345000,0,19190000,"04/2009","12/2015","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4767351","-3.1675492","UKL2207","Cardiff"
"P4","Countryside Council for Wales","Communities And Nature","ERDF",6659220,0,14803601,"04/2009","12/2014","Wales","Wales","First","Cardiff","Cardiff","CF3","51.5286621","-3.0838095","UKL2207","Cardiff"
"P1","Wales Council for Voluntary Action","Gateway Competitiveness ESF P1","ESF",2000001,0,5000001,"04/2009","11/2012","Wales","Wales","First","Cardiff","Cardiff","CF10","51.4651864","-3.1677197","UKL2207","Cardiff"
