"Title","Organisation","Synopsis","Programme","Specific objective","Group(s) targeted","Geographical area","Region","Total Operation Cost at approval","Total ESF at approval"
"ReACT III ","Department for Education & Skills (Welsh Government) ","The Welsh Government’s ReAct III programme aims to address the needs of people who have been made redundant, or are under notice of redundancy, through a series of measures designed to remove barriers to obtaining new employment. ","ESF","SO1: To increase the employability of those closest to the labour market at most risk of poverty. ","Individuals aged 25 years old and over within the West Wales and the Valleys area who have been made redundant in the previous 3 months or those who are under notice of redundancy. ","West Wales and the Valleys ","West Wales and the Valleys ","£16.7m ","£10m "
"Active Inclusion Fund - WWV ","Wales Council for Voluntary Action (WCVA) ","This operation will reduce the number of economically inactive and long term unemployed people across West Wales and the Valleys. ","ESF","SO2: To increase the employability of economically inactive and long term unemployed people aged 25 and over, who have complex barriers to employment. ","Activities will be targeted and concentrated on the following groups; 
Economically inactive over 25 years of age 
 Low/non skilled 
 Work Limiting Health Conditions/disability 
 Carers and those with childcare responsibilities 
 Over 54 years 
 Jobless households. 

Long term unemployed over 25 years of age 
 Low/non skilled 
 Work Limiting Health Condition/disability 
 Carers and those with childcare responsibilities 
 Jobless households 
 BAME individuals 
","West Wales and the Valleys ","West Wales and the Valleys ","£16.5m ","£11.5m "
"Communities4Work ","Department for Local Government and Communities (Welsh Government) ","Communities4Work is a major development of the Welsh Government’s Communities First Programme to tackle poverty, co-sponsored by the Department for Work and Pensions. This operation will provide opportunities to deliver creative and innovative models of intensive mentoring and employment support, engaging long term unemployed and economically inactive “hard to reach” groups, supporting them into work. ","ESF","SO2: To increase the employability of economically inactive and long term unemployed people aged 25 and over, who have complex barriers to employment. ","Economically inactive over 25 year olds with low or no skills, with working limiting health conditions or disabilities (including substance or alcohol abuse), with care or childcare responsibilities, from jobless households and over 54 year olds. 
Long term unemployed males over 25 years old with low or no skills, work limiting health conditions or disabilities (including substance and alcohol abuse), from a BME group and jobless households ","West Wales and the Valleys ","West Wales and the Valleys ","£22.5m 
","£14.4m "
"Communities4Work ","Department for Local Government and Communities (Welsh Government) ","Communities4Work is a major development of the Welsh Government’s Communities First Programme to tackle poverty, co-sponsored by the Department for Work and Pensions. This operation will provide opportunities to deliver creative and innovative models of intensive mentoring and employment support, engaging long term unemployed and economically inactive “hard to reach” groups, supporting them into work. ","ESF","SO2: To increase the employability of economically inactive and long term unemployed people aged 25 and over, who have complex barriers to employment. ","Economically inactive over 25 year olds with low or no skills, with working limiting health conditions or disabilities (including substance or alcohol abuse), with care or childcare responsibilities, from jobless households and over 54 year olds. 
Long term unemployed males over 25 years old with low or no skills, work limiting health conditions or disabilities (including substance and alcohol abuse), from a BME group and jobless households ","East Wales ","East Wales ","£7.5m ","£3.7m "
"Bridges2Work ","Torfaen County Borough Council ","The operation will support the reduction of poverty by increasing employment levels, particularly for underrepresented groups and those furthest from the labour market. The operation will target economically inactive and long term unemployed people. ","ESF","SO2: To increase the employability of Economically Inactive and Long Term Unemployed people aged 25 and over, who have complex barriers to employment ","
a) Economically inactive (aged 25 and over), not in education or training. 
b) Economically inactive (aged 25 and over), with low or no skills. 
c) Economically inactive aged 54+ 
d) Economically inactive (aged 25 and over), from a jobless household. 
e) Economically inactive (aged 25 and over), with care or childcare responsibilities. 
f) Economically inactive (aged 25 and over), with a work limiting health condition or disability. 

(The activity will not seek to focus upon those with care responsibilities or WLHC / disabled participants however it is recognised that participants will have multiple and complex barriers. The activity will look to complement other projects, such as Healthy Working Wales to avoid duplication.) ","Torfaen, Caerphilly, Bridgend, Blaenau Gwent, Merthyr Tydfil ","West Wales and the Valleys ","£7m ","£5.5m "
"Parents, Childcare and Employment (PaCE) ","Department for Local Government & Communities (Welsh Government) ","The Operation will help economically inactive parents aged 25 plus into sustainable work, where childcare is their main barrier. The operation aims to provide solutions to overcome their childcare barriers to enable the parent to prepare for and access employment opportunities. Parents will receive individualised help via a Parent Employment Adviser in their local community. ","ESF","SO2 (WWV)/SO1(EW): To increase the employability of Economically Inactive and Long Term Unemployed people aged 25 and over, who have complex barriers to employment ","Our priority target groups would be the following economically inactive parents aged 25 plus, with childcare as their main barrier to education, training or employment:-
a) Lone parents 
b) Couple parent –workless household 
c) Couple parent –one parent working ","West Wales & the Valleys, East Wales ","West Wales & the Valleys, East Wales ","£10.9m","£6.8m"
"Active Inclusion Fund ","Wales Council for Voluntary Action ","WCVA is proposing an operation whose interventions will reduce the number of economically inactive and long term unemployed people across West Wales and the Valleys and East Wales. ","ESF","SO1 (EW) To increase the employability of Economically Inactive and Long Term Unemployed people aged 25 and over, who have complex barriers to employment ","Activities will be targeted and concentrated on the following groups; 
Economically inactive over 25 years of age 
• Low/no skilled 
• WLHC / disability 
• Carers and those with childcare responsibility 
• Over 54 years 
• Jobless households 
Long term unemployed over 25 years of age 
• Low/no skilled 
• WLHC / disability 
• Carers and those with childcare responsibility 
• Jobless households 
• BAME individuals ","East Wales ","East Wales ","£6m ","£3m "
"Healthy Working Wales (In-Work Service) ","Department of Health (Welsh Government) ","To provide wrap-around support to the Health & Work Service (HWS), which is being funded by the DWP from December 2014 (the provider is to be appointed in July). The ESF project will primarily receive referrals from HWS and deliver rapid access to work-focussed interventions for employees in the early stages of long-term sickness absence, and also support employers and GPs to address health and work-related issues. ","ESF","SO3 To reduce underemployment or absence rates for employed individuals with work limiting health conditions and/or other barriers to sustainable engagement with the labour market ","Those at risk of becoming unemployed due to long term sick absence ","West Wales & the Valleys ","West Wales & the Valleys ","£4.8m ","£3.3m "
"Healthy Working Wales (Out of Work Service) ","Department of Health (Welsh Government) ","To provide peer mentoring and specialist employment services to achieve employment outcomes for people aged 25+ with substance misuse and/or mental health issues. ","ESF","SO2 (WWV) SO1 (EW) To increase the employability of Economically Inactive and Long Term Unemployed people aged 25 and over, who have complex barriers to employment ","Inactive and long-term unemployed people aged 25+ with substance misuse and/or mental health issues and facing complex barriers to getting closer to or accessing the labour market; and those from this population who have moved through the project into employment (initial three months maximum). ","West Wales & the Valleys & East Wales ","West Wales & the Valleys & East Wales ","£7.2m ","£4.8m "
"Workways ","Neath Port Talbot County Borough Council ","The project will deliver a co-ordinated engagement and assessment provision using established links with existing and proposed provision and innovative outreach work reflecting the needs of each Local Authority area. ","ESF","SO2 (WWV) To increase the employability of Economically Inactive and Long Term Unemployed people aged 25 and over, who have complex barriers to employment ","Long-term unemployed (over 12 months) Age 25 –53 (including BME) 
Economically inactive Age 25+ 
Individuals who are looking for employment to avoid or move out of poverty 
• Individuals with no skills or low skills 
• Individuals with work limiting health conditions or disabilities 
• Individuals with care / or childcare responsibilities 
• Individuals 54+ who are economically inactive 
• Workless Households ","Neath Port Talbot, Swansea, Carmarthenshire, Pembrokeshire, Ceredigion ","West Wales & the Valleys ","£9.1m ","£7.5m "
"Agile Nation 2 ","Chwarae Teg ","
Promote gender equality, career advancement and contribute to the reduction of the pay gap in the labour market. 
 Deliver skills support and mentoring for women in employment enabling them to progress in employment fully utilising their skills. 
 Deliver activities for employers focussing on gender disadvantage in the workforce & modern working practices fostering the promotion of diversity in workforce development. 
","ESF","SO 4: To improve the position of women in the workforce ","Females/males in non-traditional sectors; women in growth sectors where they are under-represented in the workforce and in senior management roles. ","West Wales and the Valleys ","West Wales and the Valleys ","£10.4m ","£8m "
